Name,Molecular Formula,smiles,Molecular weight,Reference
Amsacrine,C21H19N3O3S,COC1=C(C=CC(=C1)NS(=O)(=O)C)NC2=C3C=CC=CC3=NC4=CC=CC=C42,393.5,Drug screening for hearing loss - using the zebrafish lateral line to screen for drugs that prevent and cause hearing loss
Carvedilol,C24H26N2O4,COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O,406.5,Drug screening for hearing loss - using the zebrafish lateral line to screen for drugs that prevent and cause hearing loss
Cepharanthine,C37H38N2O6,CN1CCC2=CC3=C(C4=C2C1CC5=CC=C(C=C5)OC6=C(C=CC(=C6)CC7C8=CC(=C(C=C8CCN7C)OC)O4)OC)OCO3,606.7,Drug screening for hearing loss - using the zebrafish lateral line to screen for drugs that prevent and cause hearing loss
Drofenine,C20H31NO2,CCN(CC)CCOC(=O)C(C1CCCCC1)C2=CC=CC=C2,317.5,Drug screening for hearing loss - using the zebrafish lateral line to screen for drugs that prevent and cause hearing loss
Hexamethyleneamiloride,C12H18ClN7O,C1CCCN(CC1)C2=NC(=C(N=C2Cl)C(=O)N=C(N)N)N,311.77,Drug screening for hearing loss - using the zebrafish lateral line to screen for drugs that prevent and cause hearing loss
Phenoxybenzamine,C18H22ClNO,CC(COC1=CC=CC=C1)N(CCCl)CC2=CC=CC=C2,303.8,Drug screening for hearing loss - using the zebrafish lateral line to screen for drugs that prevent and cause hearing loss
"9-amino-1,2,3,4-.tetrahydroacridine (Tacrine)",C13H14N2,C1CCC2=NC3=CC=CC=C3C(=C2C1)N,198.26,Drug screening for hearing loss - using the zebrafish lateral line to screen for drugs that prevent and cause hearing loss
deferoxamine,C25H48N6O8,CC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCN)O)O)O,560.7,Mechanism and Prevention of Ototoxicity Induced by Aminoglycosides
2.2′-dipyridyl,C10H8N2,C1=CC=NC(=C1)C2=CC=CC=N2,156.18,Mechanism and Prevention of Ototoxicity Induced by Aminoglycosides
coenzyme Q10,C59H90O4,CC1=C(C(=O)C(=C(C1=O)OC)OC)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C,863.3,Mechanism and Prevention of Ototoxicity Induced by Aminoglycosides
alpha-tocopherol,C29H50O2,CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCCC(C)C)C(=C1O)C)C,430.7,Mechanism and Prevention of Ototoxicity Induced by Aminoglycosides
D-methionine,C5H11NO2S,CSCCC(C(=O)O)N,149.21,Mechanism and Prevention of Ototoxicity Induced by Aminoglycosides
SS-31,C32H49N9O5,CC1=CC(=CC(=C1CC(C(=O)NC(CCCCN)C(=O)NC(CC2=CC=CC=C2)C(=O)N)NC(=O)C(CCCN=C(N)N)N)C)O,639.8,Mechanism and Prevention of Ototoxicity Induced by Aminoglycosides
Dexamethasone,C22H29FO5,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C,392.5,Mechanism and Prevention of Ototoxicity Induced by Aminoglycosides
Memantine,C12H21N,CC12CC3CC(C1)(CC(C3)(C2)N)C,179.3,Mechanism and Prevention of Ototoxicity Induced by Aminoglycosides
M40403,C21H35Cl2MnN5,C1CCC2C(C1)NCCNC3CCCCC3NCC4=CC=CC(=N4)CN2.[Cl-].[Cl-].[Mn+2],483.4,Mechanism and Prevention of Ototoxicity Induced by Aminoglycosides
