Name,Molecular Formula,smiles,Molecular weight,Reference
sodium thiosulfate,Na2O3S2,[O-]S(=O)(=S)[O-].[Na+].[Na+],158.11,Progress in the Development of Preventative Drugs for Cisplatin-Induced Hearing Loss
acetylcysteine,C5H9NO3S,CC(=O)NC(CS)C(=O)O,163.2,Progress in the Development of Preventative Drugs for Cisplatin-Induced Hearing Loss
D-methionine,C5H11NO2S,CSCCC(C(=O)O)N,149.21,Progress in the Development of Preventative Drugs for Cisplatin-Induced Hearing Loss
amifostine,C5H15N2O3PS,C(CN)CNCCSP(=O)(O)O,214.23,Progress in the Development of Preventative Drugs for Cisplatin-Induced Hearing Loss
ebselen,C13H9NOSe,C1=CC=C(C=C1)N2C(=O)C3=CC=CC=C3[Se]2,274.2,Progress in the Development of Preventative Drugs for Cisplatin-Induced Hearing Loss
dexamethasone,C22H29FO5,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C,392.5,Progress in the Development of Preventative Drugs for Cisplatin-Induced Hearing Loss
flunarizine,C26H26F2N2,C1CN(CCN1CC=CC2=CC=CC=C2)C(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F,404.5,Progress in the Development of Preventative Drugs for Cisplatin-Induced Hearing Loss
vitamin E,C29H50O2,CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCCC(C)C)C(=C1O)C)C,430.7,Progress in the Development of Preventative Drugs for Cisplatin-Induced Hearing Loss
Apocynin,C9H10O3,CC(=O)C1=CC(=C(C=C1)O)OC,166.17,Current Strategies to Combat Cisplatin-Induced Ototoxicity
Lactate,C3H5O3-,CC(C(=O)[O-])O,89.07,Current Strategies to Combat Cisplatin-Induced Ototoxicity
Mitoquinone (MitoQ),C37H44O4P+,CC1=C(C(=O)C(=C(C1=O)OC)OC)CCCCCCCCCC[P+](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4,583.7,Current Strategies to Combat Cisplatin-Induced Ototoxicity
Paeoniflorin,C23H28O11,CC12CC3(C4CC1(C4(C(O2)O3)COC(=O)C5=CC=CC=C5)OC6C(C(C(C(O6)CO)O)O)O)O,480.5,Current Strategies to Combat Cisplatin-Induced Ototoxicity
Levosimendan,C14H12N6O,CC1CC(=O)NN=C1C2=CC=C(C=C2)NN=C(C#N)C#N,280.28,Current Strategies to Combat Cisplatin-Induced Ototoxicity
Vitamin C,C6H8O6,C(C(C1C(=C(C(=O)O1)O)O)O)O,176.12,Current Strategies to Combat Cisplatin-Induced Ototoxicity
